,realSum_wd,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat,realSum_we,city,distance,metro_distance,biz_type,booking_days
0,194.03,Private room,2.0,False,10.0,93.0,1,4.90569,52.41772,,amsterdam,5.0,2.5,multi,weekdays only
1,344.25,Private room,4.0,False,8.0,85.0,1,4.90005,52.37432,,amsterdam,0.5,0.2,one,weekdays only
2,264.1,Private room,2.0,False,9.0,87.0,1,4.97512,52.36103,348.0,amsterdam,5.7,3.7,biz,any day
3,433.53,Private room,4.0,False,9.0,90.0,2,4.89417,52.37663,482.98,amsterdam,0.4,0.4,biz,any day
4,485.55,Private room,2.0,True,10.0,98.0,1,4.90051,52.37508,485.55,amsterdam,0.5,0.3,one,any day
5,552.81,Private room,3.0,False,8.0,100.0,2,4.87699,52.38966,,amsterdam,2.1,1.9,one,weekdays only
6,215.12,Private room,2.0,False,10.0,94.0,1,4.9157,52.38296,,amsterdam,1.9,0.7,one,weekdays only
7,2771.31,Entire home/apt,4.0,True,10.0,100.0,3,4.88467,52.38749,2771.54,amsterdam,1.7,1.5,one,any day
8,1001.8,Entire home/apt,4.0,False,9.0,96.0,2,4.86459,52.40175,1001.8,amsterdam,3.7,1.2,one,any day
9,276.52,Private room,2.0,False,10.0,88.0,1,4.876,52.347,287.77,amsterdam,3.1,0.9,multi,any day
10,909.47,Entire home/apt,2.0,False,10.0,96.0,1,4.87956,52.36953,909.47,amsterdam,1.0,0.9,one,any day
11,319.64,Private room,2.0,True,10.0,97.0,1,4.92496,52.37107,393.46,amsterdam,2.2,1.6,multi,any day
12,675.6,Entire home/apt,4.0,False,8.0,87.0,1,4.88934,52.34697,553.04,amsterdam,2.9,0.6,one,any day
13,552.81,Entire home/apt,2.0,True,10.0,100.0,1,4.87417,52.37509,553.04,amsterdam,1.3,1.3,one,any day
14,209.03,Private room,2.0,False,8.0,96.0,1,4.99679,52.35645,233.64,amsterdam,7.3,3.7,multi,any day
15,368.85,Private room,2.0,True,10.0,98.0,1,4.9080900000000005,52.37455,,amsterdam,1.0,0.6,one,weekdays only
16,368.85,Private room,2.0,False,10.0,90.0,1,4.88971,52.36148,368.85,amsterdam,1.3,0.1,one,any day
17,337.92,Private room,2.0,True,10.0,97.0,1,4.88368,52.362390000000005,,amsterdam,1.4,0.5,multi,weekdays only
18,313.55,Private room,2.0,True,10.0,96.0,1,4.8839,52.3631,,amsterdam,1.3,0.6,multi,weekdays only
19,447.59,Entire home/apt,2.0,False,9.0,93.0,1,4.87757,52.37336,,amsterdam,1.1,1.1,multi,weekdays only
20,243.25,Private room,2.0,True,10.0,96.0,1,4.85206,52.367340000000006,,amsterdam,2.9,1.3,multi,weekdays only
21,933.85,Entire home/apt,4.0,False,10.0,96.0,2,4.89088,52.36422,,amsterdam,1.0,0.4,one,weekdays only
22,251.92,Private room,2.0,False,10.0,97.0,1,4.886419999999999,52.38367,,amsterdam,1.2,1.1,multi,weekdays only
